rentree_scolaire;uai;secteur;ips;position;appellation_officielle;libelle_academie;code_departement;libelle_departement;code_commune;libelle_commune
2023-2024;0595393S;privé sous contrat;129.3;50.63828239435873,3.027519556262603;Collège privé Sainte Odile;Lille;059;Nord;59328;Lambersart
2023-2024;0593130G;privé sous contrat;93.0;50.97938773835512,2.5895157518617125;Collège privé Saint Joseph;Lille;059;Nord;59309;Hondschoote
2023-2024;0594290T;public;83.5;50.457575681553536,3.026609554977936;Collège Henri Matisse;Lille;059;Nord;59452;Ostricourt
2023-2024;0590115E;public;102.2;50.62910544167586,3.070409601593442;Collège Franklin;Lille;059;Nord;59350;Lille
2023-2024;0593484S;public;82.6;50.30026003135326,3.398559394578643;Collège Emile Littré;Lille;059;Nord;59179;Douchy-les-Mines
2023-2024;0623314R;public;77.5;50.48260659356755,2.547420203520672;Collège Simone Signoret;Lille;062;Pas-de-Calais;62178;Bruay-la-Buissière
2023-2024;0593101A;privé sous contrat;118.9;51.04514380147598,2.3864495714222578;Collège privé Fénelon;Lille;059;Nord;59183;Dunkerque
2023-2024;0622790W;public;90.9;50.379591320916624,2.3305972218706037;Collège Roger Salengro;Lille;062;Pas-de-Calais;62767;Saint-Pol-sur-Ternoise
2023-2024;0623313P;public;82.6;50.50690421353284,2.475710473957055;Collège Lavoisier;Lille;062;Pas-de-Calais;62048;Auchel
2023-2024;0592896C;privé sous contrat;131.1;50.65515072650564,3.078590010507012;Collège privé Saint Jean;Lille;059;Nord;59368;La Madeleine
2023-2024;0592960X;privé sous contrat;134.2;50.569808666277225,3.215230309475054;Collège privé Notre-Dame;Lille;059;Nord;59168;Cysoing
